iteration,timestamp,T1,P1F,J1,V1F,P1
303,2026-01-02 15:42:23.181605,6.600868225097656,0.0,61.240828520955496,-6.153733781957271,0
304,2026-01-02 15:42:29.431692,6.600868225097656,0.0,61.2004449796926,-5.886068781819631,0
305,2026-01-02 15:42:35.689469,6.600868225097656,0.0,61.15993314498924,-5.6575116593649,0
306,2026-01-02 15:42:41.906532,6.600868225097656,0.0,60.31767793798243,12.03118017201632,0
307,2026-01-02 15:42:48.132704,6.600868225097656,0.0,61.07836738820795,-7.509407869292772,0
308,2026-01-02 15:42:54.510835,6.600868225097656,0.0,61.03889699992811,-7.082782007614696,0
309,2026-01-02 15:43:00.533902,6.600868225097656,0.0,60.9990282241311,-6.703729960690907,0
310,2026-01-02 15:43:06.652839,6.600868225097656,0.0,60.95891049221388,-6.367931840713936,0
311,2026-01-02 15:43:12.820044,6.600868225097656,0.0,60.91863761206849,-6.070986635222653,0
312,2026-01-02 15:43:19.193720,6.600868225097656,0.0,60.45994814371594,-11.11828444436469,0
313,2026-01-02 15:43:25.566096,6.600868225097656,0.0,60.36963869160421,-10.99692196248725,0
314,2026-01-02 15:43:31.732971,6.600868225097656,0.0,60.279348542892066,-10.883550258995456,0
315,2026-01-02 15:43:37.800567,6.600868225097656,0.0,60.189079622338475,-10.77760146131368,0
316,2026-01-02 15:43:43.978053,6.600868225097656,0.0,60.09883369429976,-10.67855405381124,0
317,2026-01-02 15:43:50.017877,6.600868225097656,0.0,60.00861163457377,-10.585941569729584,0
318,2026-01-02 15:43:56.261191,6.600868225097656,0.0,59.918414123527036,-10.499306234237338,0
319,2026-01-02 15:44:02.382373,6.600868225097656,0.0,59.82824134227908,-10.41825691061149,0
320,2026-01-02 15:44:08.473499,6.600868225097656,0.0,59.73809353519535,-10.34240246212903,0
321,2026-01-02 15:44:14.605489,6.600868225097656,0.0,59.647970341147065,-10.271406800939076,0
322,2026-01-02 15:44:20.708336,6.600868225097656,0.0,59.55787151087891,-10.204933839190744,0
323,2026-01-02 15:44:26.830562,6.600868225097656,0.0,59.46779669361685,-10.142690948669042,0
324,2026-01-02 15:44:32.990869,6.600868225097656,0.0,59.72005888918161,-5.37742299798083,0
325,2026-01-02 15:44:39.052516,6.600868225097656,0.0,59.66780145761024,-5.376623340680453,0
326,2026-01-02 15:44:45.207705,6.600868225097656,0.0,59.615544537256035,-5.375899013415619,0
327,2026-01-02 15:44:51.291081,6.600868225097656,0.0,59.5632879943786,-5.3752442215682095,0
328,2026-01-02 15:44:57.411977,6.600868225097656,0.0,59.51103184718547,-5.374653170520105,0
329,2026-01-02 15:45:03.622898,6.600868225097656,0.0,59.45877604707911,-5.374122962962247,0
330,2026-01-02 15:45:09.668772,6.600868225097656,0.0,59.406520577107685,-5.373642009658397,0
331,2026-01-02 15:45:15.990964,6.600868225097656,0.0,59.35426537926289,-5.373207413299497,0
