iteration,timestamp,P79,T41,T42,P1,J2,J13,J21,V1F
159.0,2024-12-23 14:29:11.305020,0.0,10.668000221252441,10.668000221252441,1.0,79.08759307861328,79.00910186767578,79.08759307861328,16.279098510742188
160.0,2024-12-23 14:29:18.626320,0.0,10.668000221252441,10.668000221252441,1.0,79.08759307861328,79.00910186767578,79.08759307861328,16.279109954833984
161.0,2024-12-23 14:29:25.783816,0.0,10.668000221252441,10.668000221252441,1.0,79.08759307861328,79.00910186767578,79.08759307861328,16.27909278869629
162.0,2024-12-23 14:29:32.822167,0.0,10.668000221252441,10.668000221252441,1.0,79.08759307861328,79.00910186767578,79.08759307861328,16.279104232788086
163.0,2024-12-23 14:29:39.888285,0.0,10.668000221252441,10.668000221252441,1.0,79.08759307861328,79.00910186767578,79.08759307861328,16.279098510742188
164.0,2024-12-23 14:29:46.859255,0.0,10.668000221252441,10.668000221252441,1.0,79.08759307861328,79.00910186767578,79.08759307861328,16.279115676879883
165.0,2024-12-23 14:29:53.575218,0.0,10.668000221252441,10.668000221252441,1.0,79.08759307861328,79.00910186767578,79.08759307861328,16.279104232788086
166.0,2024-12-23 14:30:00.685392,0.0,10.668000221252441,10.668000221252441,1.0,79.08759307861328,79.00910186767578,79.08759307861328,16.279098510742188
167.0,2024-12-23 14:30:07.797136,0.0,10.668000221252441,10.668000221252441,1.0,79.08759307861328,79.00910186767578,79.08759307861328,16.279115676879883
168.0,2024-12-23 14:30:14.672488,0.0,10.668000221252441,10.668000221252441,1.0,79.08759307861328,79.00910186767578,79.08759307861328,16.279104232788086
169.0,2024-12-23 14:30:22.074320,0.0,10.668000221252441,10.668000221252441,1.0,79.05306243896484,78.94043731689453,79.05306243896484,19.78396224975586
170.0,2024-12-23 14:30:28.628120,0.0,10.668000221252441,10.668000221252441,1.0,79.05306243896484,78.94043731689453,79.05306243896484,19.783967971801758
171.0,2024-12-23 14:30:35.786382,0.0,10.668000221252441,10.668000221252441,1.0,79.05306243896484,78.94043731689453,79.05306243896484,19.783973693847656
172.0,2024-12-23 14:30:42.763120,0.0,10.668000221252441,10.668000221252441,1.0,79.05306243896484,78.94043731689453,79.05306243896484,19.783985137939453
173.0,2024-12-23 14:30:49.848839,0.0,10.668000221252441,10.668000221252441,1.0,79.05306243896484,78.94043731689453,79.05306243896484,19.783967971801758
174.0,2024-12-23 14:30:56.465133,0.0,10.668000221252441,10.668000221252441,1.0,79.05306243896484,78.94043731689453,79.05306243896484,19.783979415893555
175.0,2024-12-23 14:31:03.479353,0.0,10.668000221252441,10.668000221252441,1.0,79.05306243896484,78.94043731689453,79.05306243896484,19.783979415893555
176.0,2024-12-23 14:31:10.657271,0.0,10.668000221252441,10.668000221252441,1.0,79.05306243896484,78.94043731689453,79.05306243896484,19.783985137939453
177.0,2024-12-23 14:31:17.536377,0.0,10.668000221252441,10.668000221252441,1.0,79.05306243896484,78.94043731689453,79.05306243896484,19.783967971801758
178.0,2024-12-23 14:31:24.558095,0.0,10.668000221252441,10.668000221252441,1.0,79.05306243896484,78.94043731689453,79.05306243896484,19.783973693847656
179.0,2024-12-23 14:31:31.721632,0.0,10.668000221252441,10.668000221252441,1.0,79.05306243896484,78.94043731689453,79.05306243896484,19.78399085998535
