iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,CloseP1Start
62,2024-11-12 18:21:58.004969,10.668000000000001,10.668000000000001,79.05434314689072,78.9430807058227,79.05434308812484,78.91374152994277,79.05434308812478,0.0,0.0,36.053509054683666,1.0,19.654179940289396,1.0,1
63,2024-11-12 18:22:11.612780,10.668000000000001,10.668000000000001,79.05434310745798,78.94308066638997,79.05434304869209,78.91374149051006,79.05434304869203,0.0,0.0,36.05351639595779,1.0,19.654185734907514,1.0,1
64,2024-11-12 18:22:24.069534,10.668000000000001,10.668000000000001,79.05434310746332,78.9430806663953,79.05434304869743,78.91374149051538,79.05434304869739,0.0,0.0,36.05351639496691,1.0,19.654179940289396,1.0,1
65,2024-11-12 18:22:36.898874,10.668000000000001,10.668000000000001,79.05434308774062,78.94308064667257,79.05434302897473,78.91374147079264,79.05434302897467,0.0,0.0,36.05352006678173,1.0,19.654185734907514,1.0,1
66,2024-11-12 18:22:50.387610,10.668000000000001,10.668000000000001,79.05434306801533,78.9430806269473,79.05434300924942,78.91374145106741,79.05434300924937,0.0,0.0,36.053523739086195,1.0,19.654185734907514,1.0,1
67,2024-11-12 18:23:04.304678,10.668000000000001,10.668000000000001,79.05434306802486,78.94308062695683,79.05434300925897,78.9137414510769,79.05434300925891,0.0,0.0,36.05352373730725,1.0,19.654185734907514,1.0,1
68,2024-11-12 18:23:17.863541,10.668000000000001,10.668000000000001,79.05434306801816,78.94308062695018,79.05434300925226,78.91374145107028,79.05434300925221,0.0,0.0,36.05352373855309,1.0,19.654185734907514,1.0,1
69,2024-11-12 18:23:30.504329,10.668000000000001,10.668000000000001,79.05434306802866,78.9430806269606,79.05434300926277,78.91374145108067,79.05434300926271,0.0,0.0,36.053523736597406,1.0,19.654185734907514,1.0,1
70,2024-11-12 18:23:43.377155,10.668000000000001,10.668000000000001,79.05434306801241,78.94308062694438,79.05434300924651,78.91374145106447,79.05434300924647,0.0,0.0,36.05352373962799,1.0,19.654185734907514,1.0,1
71,2024-11-12 18:23:56.203368,10.668000000000001,10.668000000000001,79.05434306802009,78.94308062695207,79.05434300925418,78.91374145107216,79.05434300925414,0.0,0.0,36.05352373819672,1.0,19.654185734907514,1.0,1
72,2024-11-12 18:24:08.732588,10.668000000000001,10.668000000000001,79.05434306802294,78.9430806269549,79.05434300925704,78.91374145107498,79.054343009257,0.0,0.0,36.05352373766652,1.0,19.654185734907514,1.0,1
73,2024-11-12 18:24:20.777295,10.668000000000001,10.668000000000001,79.04446684124841,78.92246792922617,79.04446677948503,78.89029748993669,79.04446677948498,0.0,0.0,37.8922019239784,1.0,20.65668943714627,1.0,1
74,2024-11-12 18:24:33.898077,10.668000000000001,10.668000000000001,79.0444667480701,78.92246783604784,79.04446668630665,78.89029739675833,79.0444666863066,0.0,0.0,37.892219271181794,1.0,20.656712615618744,1.0,1
75,2024-11-12 18:24:47.235387,10.668000000000001,10.668000000000001,79.04446668891106,78.92246777688885,79.0444666271476,78.89029733759934,79.04446662714754,0.0,0.0,37.89223028494291,1.0,20.656718410236863,1.0,1
76,2024-11-12 18:24:59.501425,10.668000000000001,10.668000000000001,79.04446674807348,78.9224678360513,79.04446668631005,78.89029739676178,79.04446668631,0.0,0.0,37.89221927055018,1.0,20.656706821000625,1.0,1
77,2024-11-12 18:25:11.363466,10.668000000000001,10.668000000000001,79.04446670864127,78.92246779661905,79.0444666468778,78.89029735732953,79.04446664687775,0.0,0.0,37.892226611731594,1.0,20.656718410236863,1.0,1
78,2024-11-12 18:25:25.140601,10.668000000000001,10.668000000000001,79.04446674807348,78.9224678360513,79.04446668631005,78.89029739676178,79.04446668631,0.0,0.0,37.89221927055308,1.0,20.656706821000625,1.0,1
79,2024-11-12 18:25:37.291222,10.668000000000001,10.668000000000001,79.04446670864127,78.92246779661905,79.0444666468778,78.89029735732956,79.04446664687775,0.0,0.0,37.892226611731594,1.0,20.656718410236863,1.0,1
80,2024-11-12 18:25:51.423886,10.668000000000001,10.668000000000001,79.04446674807514,78.92246783605295,79.04446668631171,78.89029739676344,79.04446668631167,0.0,0.0,37.89221927024306,1.0,20.656706821000625,1.0,1
81,2024-11-12 18:26:03.937691,10.668000000000001,10.668000000000001,79.0444667086404,78.92246779661815,79.04446664687693,78.89029735732865,79.04446664687688,0.0,0.0,37.89222661189094,1.0,20.656718410236863,1.0,1
82,2024-11-12 18:26:17.075905,10.668000000000001,10.668000000000001,79.0444667480701,78.92246783604789,79.04446668630669,78.89029739675838,79.04446668630663,0.0,0.0,37.892219271181794,1.0,20.656701026382507,1.0,1
83,2024-11-12 18:26:30.869480,10.668000000000001,10.668000000000001,79.04446674807366,78.92246783605145,79.04446668631022,78.89029739676197,79.04446668631017,0.0,0.0,37.89221927051831,1.0,20.656706821000625,1.0,1
84,2024-11-12 18:26:44.609335,10.668000000000001,10.668000000000001,79.04446670864043,78.9224677966182,79.04446664687697,78.89029735732866,79.04446664687691,0.0,0.0,37.89222661188805,1.0,20.656718410236863,1.0,1
